,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,month,hour
0,1,0,0,1,9.84,14.395,81,0.0,3,13,16,1,0
1,1,0,0,1,9.02,13.635,80,0.0,8,32,40,1,1
2,1,0,0,1,9.02,13.635,80,0.0,5,27,32,1,2
3,1,0,0,1,9.84,14.395,75,0.0,3,10,13,1,3
4,1,0,0,1,9.84,14.395,75,0.0,0,1,1,1,4
5,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,1,5
6,1,0,0,1,9.02,13.635,80,0.0,2,0,2,1,6
7,1,0,0,1,8.2,12.88,86,0.0,1,2,3,1,7
8,1,0,0,1,9.84,14.395,75,0.0,1,7,8,1,8
9,1,0,0,1,13.12,17.425,76,0.0,8,6,14,1,9
10,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,1,10
11,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,1,11
12,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,1,12
13,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,1,13
14,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,1,14
15,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,1,15
16,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,1,16
17,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,1,17
18,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,1,18
19,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,1,19
20,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,1,20
21,1,0,0,2,16.4,20.455,87,12.998,3,31,34,1,21
22,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,1,22
23,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,1,23
24,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,1,0
25,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,1,1
26,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,1,2
27,1,0,0,2,18.86,22.725,94,12.998,2,4,6,1,3
28,1,0,0,2,18.86,22.725,94,12.998,2,1,3,1,4
29,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,1,6
30,1,0,0,2,16.4,20.455,76,12.998,0,1,1,1,7
31,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,1,8
32,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,1,9
33,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,1,10
34,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,1,11
35,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,1,12
36,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,1,13
37,1,0,0,3,14.76,17.425,76,12.998,4,55,59,1,14
38,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,1,15
39,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,1,16
40,1,0,0,1,13.94,16.665,57,12.998,7,58,65,1,17
41,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,1,18
42,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,1,19
43,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,1,20
44,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,1,21
45,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,1,22
46,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,1,23
47,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,1,0
48,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,1,1
49,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,1,4
50,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,1,5
51,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,1,6
52,1,0,1,1,5.74,6.82,50,12.998,1,63,64,1,7
53,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,1,8
54,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,1,9
55,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,1,10
56,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,1,11
57,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,1,12
58,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,1,13
59,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,1,14
60,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,1,15
61,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,1,16
62,1,0,1,1,9.84,11.365,30,15.0013,11,146,157,1,17
63,1,0,1,1,9.84,12.88,32,7.0015,9,148,157,1,18
64,1,0,1,1,8.2,12.88,47,0.0,8,102,110,1,19
65,1,0,1,1,8.2,11.365,47,7.0015,3,49,52,1,20
66,1,0,1,1,7.38,9.85,64,8.9981,3,49,52,1,21
67,1,0,1,1,5.74,7.575,69,8.9981,0,20,20,1,22
68,1,0,1,1,7.38,10.605,55,7.0015,1,11,12,1,23
69,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,1,0
70,1,0,1,1,6.56,9.09,59,7.0015,0,2,2,1,1
71,1,0,1,1,5.74,7.575,63,8.9981,0,1,1,1,2
72,1,0,1,1,5.74,9.09,63,6.0032,0,2,2,1,4
73,1,0,1,1,4.92,7.575,68,7.0015,0,4,4,1,5
